RG1000 GB6*** BR0000   h0000  R255 G000 B000
RG1000 GB0000 BR0144   h1492  R255 G000 B043
RG1000 GB0000 BR0141   h1493  R255 G000 B042
RG1000 GB0000 BR0138   h1494  R255 G000 B041
RG1000 GB0000 BR0135   h1495  R255 G000 B040
RG1000 GB0000 BR0132   h1496  R255 G000 B039
RG1000 GB0000 BR0129   h1497  R255 G000 B038
RG1000 GB0000 BR0126   h1498  R255 G000 B037
RG1000 GB0000 BR0123   h1499  R255 G000 B036
RG1000 GB0000 BR0120   h1500  R255 G000 B035
RG1000 GB0000 BR0117   h1501  R255 G000 B034
RG1000 GB0000 BR0114   h1502  R255 G000 B033
RG1000 GB0000 BR0111   h1503  R255 G000 B032
RG1000 GB0000 BR0108   h1504  R255 G000 B031
RG1000 GB0000 BR0105   h1505  R255 G000 B030
RG1000 GB0000 BR0102   h1506  R255 G000 B029
RG1000 GB0000 BR0098   h1507  R255 G000 B028
RG1000 GB0000 BR0095   h1508  R255 G000 B027
RG1000 GB0000 BR0092   h1509  R255 G000 B026
RG1000 GB0000 BR0089   h1510  R255 G000 B025
RG1000 GB0000 BR0086   h1511  R255 G000 B024
RG1000 GB0000 BR0082   h1512  R255 G000 B023
RG1000 GB0000 BR0079   h1513  R255 G000 B022
RG1000 GB0000 BR0076   h1514  R255 G000 B021
RG1000 GB0000 BR0072   h1515  R255 G000 B020
RG1000 GB0000 BR0069   h1516  R255 G000 B019
RG1000 GB0000 BR0065   h1517  R255 G000 B018
RG1000 GB0000 BR0062   h1518  R255 G000 B017
RG1000 GB0000 BR0059   h1519  R255 G000 B016
RG1000 GB0000 BR0055   h1520  R255 G000 B015
RG1000 GB0000 BR0052   h1521  R255 G000 B014
RG1000 GB0000 BR0048   h1522  R255 G000 B013
RG1000 GB0000 BR0044   h1523  R255 G000 B012
RG1000 GB0000 BR0041   h1524  R255 G000 B011
RG1000 GB0000 BR0037   h1525  R255 G000 B010
RG1000 GB0000 BR0034   h1526  R255 G000 B009
RG1000 GB0000 BR0030   h1527  R255 G000 B008
RG1000 GB0000 BR0026   h1528  R255 G000 B007
RG1000 GB0000 BR0022   h1529  R255 G000 B006
RG1000 GB0000 BR0019   h1530  R255 G000 B005
RG1000 GB0000 BR0015   h1531  R255 G000 B004
RG1000 GB0000 BR0011   h1532  R255 G000 B003
RG1000 GB0000 BR0007   h1533  R255 G000 B002
RG1000 GB0000 BR0003   h1534  R255 G000 B001
RG1000 GB6*** BR0000   h1535  R255 G000 B000
